accession;assimilation_rate;d_assimilation_rate;stomatal_conductance;d_stomatal_conductance;ias_conductance;d_ias_conductance;atmospheric_CO2;compensation_point;d_compensation_point
A1;9,49;0,69;0,11;0,04;1,28;0,23;409,353;38,18;0,47
A2;7,96;1,02;0,04;0,01;1,32;0,26;409,353;38,18;0,47
A3;7,92;1,16;0,06;0,02;1,21;0,12;409,353;38,18;0,47
A4;7,63;0,78;0,05;0,01;0,98;0,15;409,353;38,18;0,47
A5;7,0;1,4;0,04;0,01;1,1;0,02;409,353;38,18;0,47
A6;6,64;0,61;0,05;0,01;1,22;0,26;409,353;38,18;0,47
A7;9,35;1,67;0,07;0,02;0,99;0,05;409,353;38,18;0,47
A8;7,01;0,94;0,08;0,02;0,91;0,19;409,353;38,18;0,47
A9;5,98;0,84;0,03;0,01;1,09;0,12;409,353;38,18;0,47
A10;5,16;1,34;0,04;0,01;0,89;0,09;409,353;38,18;0,47
A11;5,03;0,81;0,02;0,01;1,04;0,24;409,353;38,18;0,47
